 i   a   sqrt(mu2)       Ea-Ei 	  f_osc       mu_x.re     mu_y.re     mu_z.re     mu_x.im     mu_y.im     mu_z.im
  0   4 0.47240766 -0.088523487452 -0.01317047 -0.17951944  0.10129318  0.32363228 0.18946787 0.04570506 -0.19482449
  0   5 0.22162983 -0.088523487452 -0.00289884 -0.04412820  0.16693467  0.02700792 0.08162154 -0.02464469 0.10633173
  0   6 0.40767682 -0.079965321859 -0.00886018  0.05202271 -0.26182938 -0.24292344 -0.18078939 0.05553685 -0.01258831
  0   7 0.23371654 -0.079965321859 -0.00291199 -0.09881394  0.14629867 -0.09120839 0.08835377 -0.07431803 -0.04251348
  1   4 0.21401484 -0.088523487452 -0.00270306 -0.07855473 -0.10612372  0.06458429 0.00078447 -0.14283713 -0.06160414
  1   5 0.41830301 -0.088523487452 -0.01032641  0.15543415  0.04622162  0.32031210 0.15935034 0.01312480 0.14323603
  1   6 0.25958392 -0.079965321859 -0.00359225 -0.17898291 -0.11934441 -0.06402160 0.00476278 0.10948847 -0.07068714
  1   7 0.38565114 -0.079965321859 -0.00792866  0.02735869 -0.17065397  0.25220977 0.13431148 0.19010017 0.03268194
  2   4 0.37071819 -0.063117246490 -0.00578289 -0.01999989  0.29327039 -0.19008255 -0.11017565 -0.04858677 0.01984279
  2   5 0.11683267 -0.063117246490 -0.00057436  0.09998996 -0.01153060 -0.00582572 0.04108254 0.00507767 -0.04208837
  2   6 0.35000696 -0.054559080897 -0.00445584  0.16596515  0.25679770 -0.00242766 -0.17000627 -0.00281597 -0.00997120
  2   7 0.14765721 -0.054559080897 -0.00079302  0.03497165 -0.02736603  0.01656515 0.01869513 -0.13769771 0.01568960
  3   4 0.43628220 -0.063117246490 -0.00800925 -0.08816658  0.30484697 -0.20831311 -0.00154709 0.12633654 -0.17400998
  3   5 0.86772954 -0.063117246490 -0.03168295  0.16579529 -0.10519539 -0.45872896 -0.48944011 -0.16108027 -0.48833357
  3   6 1.42327789 -0.054559080897 -0.07368095  0.86496916 -0.22862945  0.05018594 -0.10870836 0.55634614 0.94943125
  3   7 0.40305341 -0.054559080897 -0.00590882 -0.01881356  0.22547835  0.25403758 -0.08361386 -0.14838073 -0.13309549
