  0   8  +0.00097503 +0.187326409840 +0.00000024 +0.00020963 -0.00070510 +0.00025333 -0.00052108 -0.00023878 -0.00012980
  1   8  +0.00089977 +0.187326409840 +0.00000020 +0.00005052 +0.00009333 +0.00080684 +0.00001934 +0.00038081 -0.00004399
  2   8  +0.00005690 +0.183708558581 +0.00000000 +0.00002712 -0.00001684 -0.00000359 -0.00003041 -0.00000025 -0.00003579
  3   8  +0.00009236 +0.183708558581 +0.00000000 -0.00003359 -0.00002290 -0.00005152 -0.00004486 +0.00001671 -0.00004395
  4   8  +0.00007676 +0.183708558581 +0.00000000 -0.00001356 -0.00005544 +0.00001871 +0.00002480 +0.00002109 -0.00003501
  5   8  +0.00004875 +0.183708558581 +0.00000000 -0.00002524 +0.00001064 -0.00000748 -0.00000729 +0.00003166 -0.00002269
  6   8  +0.00040676 +0.156092174256 +0.00000003 +0.00019098 -0.00008549 -0.00022542 -0.00013893 +0.00003444 +0.00022442
  7   8  +0.00022019 +0.156092174256 +0.00000001 +0.00014797 +0.00007505 -0.00003385 +0.00000703 -0.00011412 -0.00008208
  0   9  +0.00105500 +0.187326409840 +0.00000028 +0.00028221 -0.00034127 +0.00037913 -0.00001032 +0.00029067 +0.00082980
  1   9  +0.00111988 +0.187326409840 +0.00000031 -0.00035286 -0.00098715 -0.00004740 +0.00011475 +0.00009571 -0.00036136
  2   9  +0.00008467 +0.183708558581 +0.00000000 +0.00003851 +0.00001362 +0.00001256 +0.00002209 +0.00003975 -0.00005723
  3   9  +0.00005771 +0.183708558581 +0.00000000 +0.00000024 -0.00003677 -0.00003322 +0.00001831 -0.00002297 +0.00000351
  4   9  +0.00007990 +0.183708558581 +0.00000000 -0.00001127 +0.00004107 -0.00004682 +0.00003538 -0.00001761 +0.00002857
  5   9  +0.00005616 +0.183708558581 +0.00000000 -0.00000071 +0.00004295 +0.00003259 -0.00000944 -0.00000974 -0.00000793
  6   9  +0.00022019 +0.156092174256 +0.00000001 +0.00016192 +0.00003616 -0.00002166 -0.00002695 -0.00014027 -0.00000921
  7   9  +0.00040676 +0.156092174256 +0.00000003 -0.00009304 -0.00018742 +0.00026232 +0.00003610 -0.00016928 +0.00015132
  0  10  +0.07117921 +0.248089549133 +0.00167592 +0.04121452 +0.00099663 +0.00118804 +0.04168716 -0.04033492 -0.00084451
  1  10  +0.05857868 +0.248089549133 +0.00113508 -0.01047846 +0.02355631 +0.02236757 -0.01742668 +0.04389768 +0.00597998
  2  10  +0.00013826 +0.244471697874 +0.00000001 +0.00003509 -0.00003735 +0.00001522 +0.00002328 -0.00006366 -0.00010800
  3  10  +0.00015523 +0.244471697874 +0.00000001 +0.00003685 -0.00007375 +0.00010197 +0.00006073 +0.00005662 +0.00000241
