i  a   sqrt(mu2)     Ea-Ei 	  f_osc       mu_x.re     mu_x.im     mu_y.re     mu_y.im     mu_z.re     mu_z.im
0  8  0.00024196 0.187326409840  0.00000001  0.00008618  0.00005111 -0.00002809  0.00012114 -0.00005809 -0.00017224
0  9  0.00023742 0.187326409840  0.00000001 -0.00016926 -0.00004860  0.00009602 -0.00004495  0.00007325  0.00009355
0  10  0.00077117 0.248089549133  0.00000010 -0.00006557 -0.00046535  0.00027109  0.00027525  0.00030558 -0.00036224
0  11  0.00161704 0.248089549133  0.00000043 -0.00063143  0.00059066 -0.00008168  0.00132925  0.00012512  0.00027929
0  12  0.00078926 0.248089549133  0.00000010  0.00003956 -0.00002640 -0.00013995 -0.00026832 -0.00065349 -0.00031944
0  13  0.00129008 0.248089549133  0.00000028 -0.00051541  0.00068652 -0.00056355  0.00016299 -0.00076310  0.00002965
0  14  0.29946638 0.289650681167  0.01731727  0.13409338 -0.09887394  0.12780744 -0.09276612  0.03368414 -0.18933596
0  15  0.37290365 0.289650681460  0.02685200  0.18602995 -0.13909862  0.16767707 -0.00974150 -0.04491214  0.23425194
1  8  0.00032349 0.187326409840  0.00000001  0.00023034 -0.00008889 -0.00018542  0.00000357 -0.00004492  0.00008533
1  9  0.00010131 0.187326409840  0.00000000  0.00002866  0.00000653  0.00005001  0.00001531 -0.00007867 -0.00002184
1  10  0.00175302 0.248089549133  0.00000051  0.00040220  0.00006486  0.00064062 -0.00011037  0.00156686 -0.00017177
1  11  0.00091004 0.248089549133  0.00000014 -0.00001272 -0.00063426  0.00043604 -0.00040088  0.00006011 -0.00026699
1  12  0.00078834 0.248089549133  0.00000010 -0.00022181 -0.00017845 -0.00028846 -0.00058748 -0.00022015 -0.00025226
1  13  0.00098692 0.248089549133  0.00000016 -0.00024772 -0.00023368  0.00055839  0.00060996 -0.00025450  0.00033077
1  14  0.32629165 0.289650681167  0.02055868 -0.07544459  0.16270118  0.18224305  0.17176196  0.04371368  0.09837222
1  15  0.34967365 0.289650681460  0.02361071  0.02467181 -0.30047095  0.07616086  0.07342410  0.12227629 -0.07236785
2  8  0.30473043 0.183708558581  0.01137286  0.04846736 -0.17798896  0.13543674 -0.18361806 -0.08047245 -0.01723264
2  9  0.22415007 0.183708558581  0.00615341 -0.10350605 -0.14966236  0.04620000  0.06419422  0.05520182  0.08847798
2  10  0.28167507 0.244471697874  0.01293106 -0.02095467  0.17067282  0.17094343 -0.09863617 -0.02920632 -0.09984376
2  11  0.13706238 0.244471697874  0.00306178 -0.00618323  0.03788611 -0.02391859 -0.07513475 -0.06838721 -0.08011471
2  12  0.35061083 0.244471697874  0.02003494  0.13688626  0.21307634  0.07348542 -0.01807840  0.22945455 -0.02030411
2  13  0.32277677 0.244471697874  0.01698016  0.00715885  0.07151441 -0.00596348  0.23038894  0.17428793 -0.12461289
2  14  0.00406445 0.286032829908  0.00000315  0.00250808  0.00100195 -0.00270451  0.00032641  0.00019386 -0.00132925
2  15  0.00199814 0.286032830201  0.00000076 -0.00052979 -0.00143003 -0.00016237  0.00094958  0.00071119  0.00048275
3  8  0.26335256 0.183708558581  0.00849402 -0.05182172 -0.15585909 -0.03547636  0.10621447 -0.14667387 -0.09123440
3  9  0.27156827 0.183708558581  0.00903225  0.13868204 -0.03407446 -0.00327978 -0.18977054  0.13165053  0.00026970
3  10  0.26833547 0.244471697874  0.01173528  0.06959036  0.00413230  0.01321474  0.11301392 -0.13712298  0.18813437
3  11  0.21888828 0.244471697874  0.00780876 -0.01417105  0.00027943  0.04861536 -0.08014486 -0.03260874 -0.19457954
3  12  0.31489901 0.244471697874  0.01616143  0.04335061 -0.03490065  0.16516835 -0.23755206 -0.03677388  0.10488171
3  13  0.32582565 0.244471697874  0.01730246 -0.31533104 -0.03095770  0.04929428  0.01343457 -0.03654692 -0.04271084
3  14  0.00266079 0.286032829908  0.00000135  0.00005436  0.00165673  0.00108458 -0.00034626 -0.00114437 -0.00131390
3  15  0.00366665 0.286032830201  0.00000256 -0.00197334  0.00039964  0.00109256 -0.00212284  0.00087781  0.00170876
4  8  0.24425592 0.183708558581  0.00730682 -0.04352641  0.04834457 -0.00247001  0.04333965  0.22915558  0.03213257
4  9  0.28886492 0.183708558581  0.01021945  0.02553197 -0.19391467  0.12149979 -0.02545111  0.17133943 -0.02051831
4  10  0.19579662 0.244471697874  0.00624810  0.00963305  0.02204565  0.14826265  0.04505028 -0.05934047  0.10111814
4  11  0.43923726 0.244471697874  0.03144385  0.27756643 -0.17760624  0.15022660  0.24385825 -0.00233155 -0.04797874
4  12  0.17989410 0.244471697874  0.00527438 -0.01105109  0.01104106 -0.05610600 -0.02201912  0.06206493 -0.15694927
4  13  0.24821798 0.244471697874  0.01004162 -0.00321163 -0.03401161  0.10193911  0.03097772  0.09512294  0.20011369
4  14  0.00259447 0.286032829908  0.00000128  0.00133189  0.00127523  0.00019232 -0.00038125 -0.00152829 -0.00090173
4  15  0.00371018 0.286032830201  0.00000262  0.00101859  0.00127814  0.00147852  0.00030716 -0.00251277 -0.00158111
5  8  0.25363680 0.183708558581  0.00787885 -0.16633216 -0.04997760  0.16821683 -0.02494952  0.07032182  0.01740516
5  9  0.28066398 0.183708558581  0.00964743  0.04292445  0.04241705  0.14045698 -0.13411011 -0.19285948  0.01490262
5  10  0.36818290 0.244471697874  0.02209350  0.15806086  0.20641228  0.14084679 -0.02795904 -0.10217028  0.19212260
