#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.121830620018  0.121830620018  0.034267705496  -0.000000003550   0.156098321964  -0.932472144741
1  0.135172364204  0.135172364204  0.034030305645  -0.008651569605   0.160551100244  -0.690590937870
2  0.135174140906  0.135174140906  0.034030268353  -0.008653859812   0.160550549447  -0.690527603360
3  0.135174826716  0.135174826716  0.034030254320  -0.008654746871   0.160550334165  -0.690503083403
4  0.158197812460  0.158197812460  0.025802103601  -0.000217022191   0.183782893869  -0.696205884263
5  0.158197837172  0.158197837172  0.025802054437  -0.000217020738   0.183782870870  -0.696204585988
6  0.159226423826  0.159226423826  0.025744950548  -0.001199405504   0.183771968870  -0.667918644399
7  0.159226450121  0.159226450121  0.025744913795  -0.001199421142   0.183771942775  -0.667917218792
8  0.159226473367  0.159226473367  0.025744881295  -0.001199434837   0.183771919825  -0.667915961752
9  0.159807487709  0.159807487709  0.025655179583  -0.001703787794   0.183758879498  -0.651750902529
10  0.159807511771  0.159807511771  0.025655118957  -0.001703763723   0.183758867005  -0.651749907820
11  0.159807521071  0.159807521071  0.025655095547  -0.001703754485   0.183758862133  -0.651749522179
12  0.162081643468  0.162081643468  0.026134545982  -0.000878288210   0.187337901240  -0.687258132742
13  0.162531448673  0.162531448673  0.026137404829  -0.001320796954   0.187348056548  -0.675294643532
14  0.163567505443  0.163567505443  0.026164163178  -0.002261668682   0.187469999939  -0.650420338722
15  0.165419478741  0.165419478741  0.026188822738  -0.004000784647   0.187607516832  -0.603767579713
16  0.185399274193  0.185399274193  0.031481171936  -0.000032440246   0.216848005883  -0.855764017516
17  0.185399292935  0.185399292935  0.031481135246  -0.000032440109   0.216847988073  -0.855763022867
18  0.185497734070  0.185497734070  0.031505050143  -0.000129396571   0.216873387641  -0.853775459583
19  0.185497757293  0.185497757293  0.031505015766  -0.000129404245   0.216873368814  -0.853774315343
