i  a   sqrt(mu2)     Ea-Ei 	  f_osc       mu_x        mu_y       mu_z
0  8  0.53437112 0.130146156475  0.02477571  0.00193666  0.53436393 -0.00198372
0  9  0.20880557 0.156122803578  0.00453795 -0.20880442 -0.00062717 -0.00029380
0  10  0.21098098 0.156208587557  0.00463554  0.00101024 -0.20584293  0.04626706
0  11  0.95304537 0.163733860240  0.09914582  0.00345282  0.95303743  0.00179218
0  12  0.47763923 0.176530165519  0.02684897  0.00373420 -0.23602162 -0.41523377
0  13  0.23492240 0.176976421994  0.00651138 -0.23488053 -0.00441728  0.00040272
0  14  0.23556732 0.188381502935  0.00696911  0.04336798  0.14423810  0.18112579
0  15  0.14428734 0.188418624458  0.00261510  0.13244246 -0.03425038 -0.04587747
1  8  0.53217667 0.130142163045  0.02457188 -0.53217309  0.00194107 -0.00020940
1  9  0.20692711 0.156118810147  0.00445655 -0.00094009  0.20215333  0.04418117
1  10  0.22359422 0.156204594126  0.00520623 -0.22359306 -0.00071909  0.00000641
1  11  0.96041950 0.163729866809  0.10068357 -0.96041044  0.00416800  0.00015910
1  12  0.22156501 0.176526172088  0.00577724 -0.22153509 -0.00300148 -0.00206081
1  13  0.47568031 0.176972428563  0.02669591  0.00186293  0.23277094 -0.41483247
1  14  0.10657213 0.188377509504  0.00142635  0.09048595 -0.04065483  0.03894991
1  15  0.23013927 0.188414631027  0.00665281 -0.02318927 -0.13435180  0.18540748
2  8  0.00237249 0.129038435928  0.00000048 -0.00236259  0.00003017 -0.00021441
2  9  1.16846479 0.155015083031  0.14109576 -0.00005331  1.16841225 -0.01108004
2  10  1.16680950 0.155100867010  0.14077414  1.16680942 -0.00001451  0.00042547
2  11  0.00997239 0.162626139693  0.00001078 -0.00997144  0.00011317  0.00007797
2  12  0.18275041 0.175422444971  0.00390581  0.18272240 -0.00317080 -0.00042660
2  13  0.19544255 0.175868701447  0.00447853  0.00109668  0.19517290 -0.01020434
2  14  0.49768482 0.187273782388  0.03092392  0.48690528  0.10299320 -0.00241412
2  15  0.48280003 0.187310903910  0.02910760 -0.12299167  0.46686970 -0.00126471
3  8  0.35845344 0.128287092104  0.01098898 -0.00149879  0.35844783 -0.00133246
3  9  0.08733535 0.154263739206  0.00078443 -0.08714162 -0.00030333  0.00580608
3  10  1.28120430 0.154349523185  0.16890823 -0.00063031 -0.08687340  1.27825548
3  11  0.87058518 0.161874795868  0.08179194  0.00406602 -0.87057540  0.00070791
3  12  0.37630844 0.174671101147  0.01648989 -0.00015014 -0.27550751  0.25632720
3  13  0.28304302 0.175117357622  0.00935283 -0.28302514  0.00165761  0.00271529
3  14  0.45364106 0.186522438563  0.02558966  0.03417155  0.11970738  0.43622547
3  15  0.17382852 0.186559560086  0.00375810  0.13209282 -0.03002538 -0.10893263
4  8  0.35024981 0.128269368390  0.01049029 -0.35024674 -0.00137445  0.00051390
4  9  1.27732898 0.154246015493  0.16777538  0.00059962  0.09394109  1.27386971
4  10  0.07816233 0.154331799472  0.00062858 -0.07791923  0.00023472 -0.00615545
4  11  0.86529959 0.161857072155  0.08079294  0.86529222  0.00340429  0.00107731
4  12  0.27982680 0.174653377434  0.00911726 -0.27978875  0.00003652 -0.00461455
4  13  0.39223981 0.175099633909  0.01795963  0.00038483  0.28279552  0.27180621
4  14  0.16710976 0.186504714850  0.00347218  0.14008522 -0.03326834  0.08482346
4  15  0.43140493 0.186541836373  0.02314489 -0.03630559 -0.12891102  0.41009031
5  8  1.88680456 0.125343058586  0.29748349 -0.00011626 -0.00961472 -1.88678006
5  9  0.33742050 0.151319705689  0.01148543  0.33742049 -0.00001297  0.00002079
5  10  0.33126514 0.151405489668  0.01107648  0.00004077 -0.33126467  0.00055441
5  11  0.49374960 0.158930762351  0.02583035  0.00005216  0.00032997  0.49374949
5  12  0.05457623 0.171727067629  0.00034100 -0.00035071  0.01015023 -0.05362290
5  13  0.01182025 0.172173324105  0.00001604 -0.00307240  0.00006198 -0.01141380
5  14  0.31584378 0.183578405045  0.01220886 -0.07811972  0.30545552  0.01874915
5  15  0.31855423 0.183615526568  0.01242181 -0.30891100 -0.07747524 -0.00695530
6  8  2.04215722 0.124119872866  0.34508685 -2.04215659  0.00160317 -0.00000045
6  9  0.12929254 0.150096519969  0.00167273 -0.00002755 -0.00591190 -0.12915730
6  10  0.00484387 0.150182303948  0.00000235  0.00484222 -0.00002008 -0.00012454
6  11  0.22782755 0.157707576631  0.00545725  0.22782744 -0.00008407 -0.00021265
6  12  0.51650906 0.170503881909  0.03032487 -0.51650676 -0.00129510  0.00083692
6  13  0.51018930 0.170950138385  0.02966476 -0.00197892  0.51012378  0.00793282
6  14  0.20881531 0.182355219326  0.00530092  0.18196757 -0.05026195 -0.08924894
6  15  0.43136415 0.182392340849  0.02262577 -0.04282839 -0.20974854 -0.37449473
7  8  2.03850379 0.124099617615  0.34379712  0.00212284  2.03848839 -0.00763376
7  9  0.00743997 0.150076264718  0.00000554  0.00743696 -0.00017581  0.00011760
7  10  0.13918052 0.150162048697  0.00193921 -0.00000277  0.00602458 -0.13905007
7  11  0.22855406 0.157687321380  0.00549140 -0.00039606 -0.22854102  0.00240906
7  12  0.49630861 0.170483626658  0.02799594  0.00158341 -0.49614414  0.01267769
7  13  0.50698213 0.170929883133  0.02928951 -0.50698008 -0.00144104 -0.00005642
7  14  0.43680823 0.182334964074  0.02319318  0.05103185  0.20786774 -0.38077314
7  15  0.23380921 0.182372085597  0.00664646  0.20690119 -0.05115901  0.09613221
