#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.110367048458  0.126264439299  0.018488255278  -0.003196296125   0.130146156475  -0.538217219901
1  0.110423415208  0.126459551592  0.018459229030  -0.003189564927   0.130142163045  -0.536574734878
2  0.110970163483  0.129213225760  0.019173601226  -0.001293622679   0.129038435928  -0.491662988822
3  0.111487439419  0.126829764827  0.018924011066  -0.002034573653   0.128287092104  -0.457142069065
4  0.111539279549  0.126662149506  0.018903978577  -0.002042945228   0.128269368390  -0.455249139505
5  0.112521634002  0.125950169036  0.019045915062  -0.006937556458   0.125343058586  -0.348888912934
6  0.114925392838  0.130186813763  0.019033582052  -0.006374999066   0.124119872866  -0.250194673855
7  0.114949704086  0.130176147577  0.019060858078  -0.006301612912   0.124099617615  -0.248981957008
8  0.134106429828  0.150243423535  0.016610269771  -0.001370062323   0.156122803578  -0.599096352674
9  0.135133638768  0.150228649136  0.017685826029  -0.003101399959   0.156118810147  -0.571035892466
10  0.135160917096  0.150261179055  0.017259924758  -0.005291610951   0.155015083031  -0.540259650923
11  0.136051302927  0.151417426117  0.016429685439  -0.000760028337   0.154263739206  -0.495585888561
12  0.136090149625  0.151495779687  0.017497121579  -0.005180030965   0.154246015493  -0.494046528485
13  0.137783756835  0.152828866972  0.016828480884  -0.001655017031   0.151319705689  -0.368332118649
14  0.138313622078  0.154420968383  0.017679468247  -0.006204564678   0.150096519969  -0.320629147661
15  0.138319781465  0.154431290078  0.016811176799  -0.001408515298   0.150076264718  -0.319910368367
16  0.138647184199  0.154395981580  0.017792467467  -0.003107314631   0.156208587557  -0.477870371333
17  0.140409562000  0.156391240494  0.016629984379  -0.001372076318   0.156204594126  -0.429804937204
18  0.140526762996  0.156517107278  0.017309911643  -0.005322604199   0.155100867010  -0.396581773972
19  0.140558952542  0.156567010580  0.017574312435  -0.005233463199   0.154349523185  -0.375260733997
20  0.141363156160  0.156419485366  0.016453700303  -0.000765098876   0.154331799472  -0.352894940619
21  0.141449469957  0.156636653887  0.016868458285  -0.001655465805   0.151405489668  -0.270917234761
22  0.141473919148  0.156707670550  0.016837177911  -0.001419987938   0.150182303948  -0.236967342152
23  0.141881254882  0.157242471877  0.017769709419  -0.006284897035   0.150162048697  -0.225331992795
24  0.141920889350  0.157258624343  0.017422052612  -0.002523141209   0.163733860240  -0.593561476092
25  0.145291664438  0.162639755937  0.017412533066  -0.002557195445   0.163729866809  -0.501729300000
26  0.145791361830  0.154767746506  0.018538072384  -0.001263484713   0.162626139693  -0.458097874345
27  0.148026889034  0.163162082673  0.018522090735  -0.004880660456   0.161874795868  -0.376820932033
28  0.148058199848  0.163132076741  0.018515315531  -0.004868545352   0.161857072155  -0.375486633894
29  0.148955803584  0.157770841714  0.018870555553  -0.006254388565   0.158930762351  -0.271432592994
30  0.150701360693  0.161206049215  0.018240957113  -0.002018734833   0.157707576631  -0.190648944387
31  0.150707723692  0.161196755737  0.018256670365  -0.002020222586   0.157687321380  -0.189924624511
32  0.156009744922  0.170323862185  0.016396999558  -0.002011837540   0.176530165519  -0.558389373028
33  0.156039104348  0.170445435133  0.015888463196  -0.001039032228   0.176526172088  -0.557481795083
34  0.156712868708  0.170701642641  0.015816298092  -0.001317956806   0.175422444971  -0.509113763540
35  0.156761598223  0.170791908000  0.015973760183  -0.001634292343   0.174671101147  -0.487342647861
36  0.157325325932  0.171500634247  0.015307320795  -0.000823256437   0.174653377434  -0.471520540635
37  0.157695391144  0.171946476880  0.015340059326  -0.000693174874   0.171727067629  -0.381821561499
38  0.160021091680  0.174752080213  0.015767537463  -0.001188902694   0.170503881909  -0.285251398038
39  0.160410615396  0.174649914426  0.016037774303  -0.001564728315   0.170483626658  -0.274100738661
40  0.160798333044  0.174984887731  0.016017516466  -0.001151935293   0.176976421994  -0.440228449649
41  0.160917674740  0.175032000275  0.016343524746  -0.002002034162   0.176972428563  -0.436872328191
42  0.161013406265  0.175238305881  0.015878023790  -0.001361146325   0.175868701447  -0.404233379323
43  0.161424997203  0.175745182518  0.015435861251  -0.000870208413   0.175117357622  -0.372588296297
44  0.161758014095  0.176415355414  0.015978157252  -0.001676572474   0.175099633909  -0.363044153410
45  0.162140497004  0.176494950206  0.015429317966  -0.000703093995   0.172173324105  -0.273007271380
46  0.162287718864  0.176848265603  0.016011276925  -0.001627065085   0.170950138385  -0.235716562553
47  0.162862685261  0.176741279382  0.015899635006  -0.001316861478   0.170929883133  -0.219519748177
48  0.166374462442  0.182285925155  0.017971391091  -0.004387195859   0.188381502935  -0.598842381663
49  0.166413107393  0.182287555426  0.016695494621  -0.001338778809   0.188377509504  -0.597682131603
50  0.166447668148  0.182286998006  0.018055517857  -0.003272874789   0.187273782388  -0.566707725010
51  0.167248559006  0.182242627475  0.018214973190  -0.003548986137   0.186522438563  -0.524469246181
52  0.168156072860  0.183363588831  0.017282934188  -0.001588545579   0.186504714850  -0.499292236643
53  0.168218306551  0.183407788807  0.017741745995  -0.002115259901   0.183578405045  -0.417969784165
54  0.170501727701  0.186507254271  0.017326513070  -0.001345556949   0.182355219326  -0.322550101999
55  0.170832314885  0.186482167537  0.018340152824  -0.002686758370   0.182334964074  -0.313003188157
56  0.170960422883  0.186438997487  0.016775344320  -0.001442946108   0.188418624458  -0.475062106328
57  0.172568806976  0.187460598233  0.017853008921  -0.004303003611   0.188414631027  -0.431187056580
58  0.172629315788  0.187485624326  0.017992339414  -0.003173142590   0.187310903910  -0.399506567024
59  0.172840248860  0.188330853046  0.017295036199  -0.001590519083   0.186559560086  -0.373321665484
60  0.173370967211  0.185777236887  0.018095160427  -0.003454742573   0.186541836373  -0.358397789111
61  0.173529274964  0.187787888751  0.017708762243  -0.002106772372   0.183615526568  -0.274461026910
62  0.173722951465  0.187790383062  0.018238997777  -0.002602891292   0.182392340849  -0.235906222261
63  0.178296459736  0.186728020859  0.017331972357  -0.001356945678   0.182372085597  -0.110903485565
